ChaosPerDay,TotalChaos,lag_1,lag_2,lag_3,rolling_min,rolling_mean,rolling_max,gen_rolling_min,gen_rolling_mean,gen_rolling_max,DailyReturn,DailyPercentReturn,Date,Confidence,DayOfLeague,WeekOfLeague,LeaguePeriod,Month,Value
0.258139733331336,0.7852576031072636,0.5084940587152738,0.5038961684571233,0.5018033474163885,0.5135143518347391,0.5166590490964622,0.47449229619927813,0.5110608914393152,0.5141869946474453,0.47449229619927813,0.4574184288813983,0.1411727753059721,2022-11-24,0,97,14,2,11,151.72794
0.25372823421857976,0.7900530646563338,0.5075839212572864,0.5063044565356006,0.5018033474163885,0.5135143518347391,0.5177843529436383,0.47766583281121244,0.5110608914393152,0.5147367025863884,0.47766583281121244,0.4686949960302211,0.1434620887421233,2022-11-25,0,98,14,2,11,152.88726
0.24943224417281296,0.7948020757628763,0.5114622589687982,0.5084940587152738,0.5000881166678064,0.5163301734596031,0.5199347177167082,0.4794081911839235,0.5110608914393152,0.51527175053319,0.4794081911839235,0.4633994101817622,0.1423807291428932,2022-11-26,0,99,15,2,11,153.37439
0.24524874013392872,0.7995058526831537,0.5130918820663112,0.5075839212572864,0.5066500652277445,0.5178261508153733,0.5227217353431202,0.4848939750268285,0.5110608914393152,0.5165226999836916,0.4848939750268285,0.47164455990600457,0.14403475707515895,2022-11-27,0,100,15,2,11,154.90811
0.24117477792854802,0.8041655798395199,0.5182227209329742,0.5114622589687982,0.5038961684571233,0.5178261508153733,0.5271347238185872,0.49466928759028295,0.5110608914393152,0.5184155409490766,0.49466928759028295,0.48109253925779705,0.14589006769224222,2022-11-28,0,101,15,2,11,157.6411
0.23720749025036214,0.8087824106515453,0.5273655444693444,0.5130918820663112,0.5063044565356006,0.5223607857264531,0.5316850436880852,0.49466928759028295,0.5110608914393152,0.5202419133639102,0.49466928759028295,0.4588014308536041,0.14145865395327845,2022-11-29,0,102,15,2,11,157.54459
0.2333440846856054,0.8133574683457946,0.5270426841956166,0.5182227209329742,0.5084940587152738,0.5242661757000879,0.5355362681416004,0.4952743362268436,0.5110608914393152,0.5223654508153153,0.4952743362268436,0.46165472424177534,0.14201662769303883,2022-11-30,0,103,15,2,11,157.81026
0.2295818417837882,0.8178918467447419,0.5279314448310041,0.5273655444693444,0.5075839212572864,0.5302652615916633,0.5387819827938743,0.4952743362268436,0.5110608914393152,0.5242222134773907,0.4952743362268436,0.45730159653022884,0.14116596022122932,2022-12-01,0,104,15,2,12,157.52337
0.2259181131735974,0.8223866110353154,0.5269716957487355,0.5270426841956166,0.5114622589687982,0.5404947489614582,0.542353592549762,0.5012240288434655,0.5110608914393152,0.5266952204992947,0.5012240288434655,0.474926501185419,0.14461280879116653,2022-12-02,0,105,15,2,12,159.47368
0.2223503197236782,0.8268427985175559,0.5334961763253998,0.5279314448310041,0.5130918820663112,0.5368033468024491,0.5415232128583803,0.5012240288434655,0.5110608914393152,0.5284127654439761,0.5012240288434655,0.43676210680162814,0.1372019178333325,2022-12-03,0,106,16,2,12,156.57963
0.21887594974788083,0.831261419333868,0.5238145498081306,0.5269716957487355,0.5182227209329742,0.5368033468024491,0.5412980926347386,0.5012240288434655,0.5155308305480721,0.5304409241929482,0.5012240288434655,0.4648967235103717,0.14265714847520375,2022-12-04,0,107,16,2,12,157.25682
0.21549255725442568,0.8356434571793417,0.5260799912003765,0.5334961763253998,0.5273655444693444,0.5306246857385591,0.5390996481836446,0.5012240288434655,0.5155308305480721,0.5313679311497227,0.5012240288434655,0.4417822739719422,0.1381234874182927,2022-12-05,0,108,16,2,12,155.0
0.212197760238357,0.8399898699936107,0.5185301256636015,0.5238145498081306,0.5270426841956166,0.5306246857385591,0.5371256355390648,0.5012240288434655,0.5183577093991788,0.532509826025493,0.5012240288434655,0.4595617471186999,0.14160727027349534,2022-12-06,0,109,16,2,12,155.0
0.0,0.0,0.0,0.0,0.0,0.05614276363100139,0.05614276363100139,0.05133899917243971,0.05636322618937996,0.056202118376695656,0.05133899917243971,0.4595617471186999,0.14160727027349534,2022-12-09,0,1,1,0,12,33.69445
0.02682109966524704,0.0023420255074522206,0.1127199186623609,0.0,0.0,0.05614276363100139,0.1850578671311917,0.28710838293169105,0.05636322618937996,0.1852535123387289,0.28710838293169105,0.9788598832684885,0.6165049759098751,2022-12-10,0,2,1,0,12,99.61105
0.0568585716322437,0.005008831531250875,0.33323438886440837,0.0,0.0,0.05614276363100139,0.25577186586531264,0.3632141016249219,0.05636322618937996,0.25604227068816676,0.3632141016249219,0.6271897793830211,0.19346109653465238,2022-12-11,0,3,1,0,12,120.88875
0.09031155886232456,0.008037348370055996,0.40441586276655295,0.1127199186623609,0.0,0.05614276363100139,0.3143443051768772,0.44813029562863815,0.05636322618937996,0.31467663342521285,0.44813029562863815,0.6465954517157811,0.18928062000345958,2022-12-12,0,4,1,0,12,144.62969
0.12733121852329443,0.011466140711169352,0.48383775051863054,0.33323438886440837,0.0,0.05614276363100139,0.3568180890987778,0.48164586248635144,0.05636322618937996,0.35719532109748686,0.48164586248635144,0.5333820673133962,0.1573347867390019,2022-12-13,0,5,1,0,12,154.0
0.16799998349255862,0.015334664548342095,0.515184770014159,0.40441586276655295,0.0,0.31397297063138213,0.46107835458136714,0.5280360245013938,0.05636322618937996,0.39400519612666624,0.5280360245013938,0.5617392405912929,0.1620517565959114,2022-12-14,0,6,1,0,12,166.9698
0.21230887424647704,0.019682278784121186,0.5585733637162994,0.48383775051863054,0.0,0.39719986333355434,0.5377437950050252,0.6376368150849255,0.05636322618937996,0.437438363271842,0.6376368150849255,0.7009649580151955,0.18615717654190422,2022-12-15,0,7,1,0,12,197.61208
0.26013450454254256,0.024547008205865868,0.6610826882261011,0.515184770014159,0.1127199186623609,0.4900616231115711,0.5994315786715075,0.6452619444616429,0.05636322618937996,0.471056666703865,0.6452619444616429,0.4763566142473074,0.14422608492573347,2022-12-16,0,8,2,0,12,199.74392
0.3112181897573632,0.02996408057042469,0.6682144512138088,0.5585733637162994,0.33323438886440837,0.5267132247863804,0.6425270697544522,0.6452619444616429,0.05636322618937996,0.49719314620133553,0.6452619444616429,0.4593609341294005,0.14157629180726733,2022-12-17,0,9,2,0,12,199.71843
0.3651502371111269,0.03596429382668111,0.6681291780983045,0.6610826882261011,0.40441586276655295,0.5774440910439473,0.6778951881011793,0.6452619444616429,0.05636322618937996,0.5179035937146068,0.6452619444616429,0.455563213077156,0.1409903566889159,2022-12-18,0,10,2,0,12,199.21088
0.4213628555584356,0.04257230667621092,0.6664312428384299,0.6682144512138088,0.48383775051863054,0.6973001727496729,0.7138230052184755,0.6923045832577291,0.05636322618937996,0.539719955492486,0.6923045832577291,0.5673757122007165,0.15828372173426297,2022-12-19,0,11,2,0,12,212.89614
0.4791349284752124,0.04980498073867272,0.7122133046935206,0.6681291780983045,0.515184770014159,0.7035538165200161,0.7368129455276257,0.7427510319645306,0.05636322618937996,0.5625023420159723,0.7427510319645306,0.5706734884785024,0.1576890402471428,2022-12-20,0,12,2,0,12,227.0
0.5376109554842448,0.057669927525908056,0.759395732423468,0.6664312428384299,0.5585733637162994,0.7035538165200161,0.7681289937238652,0.7884446512302006,0.05636322618937996,0.5856275903268932,0.7884446512302006,0.560205057714236,0.1552688441898916,2022-12-21,0,13,2,0,12,239.77506
0.5958347544215101,0.06616441981894604,0.8021328515664361,0.7122133046935206,0.6610826882261011,0.7035538165200161,0.8200086247713995,0.8823739453094835,0.05636322618937996,0.6127940035888677,0.8823739453094835,0.6664474189031435,0.16819419370485528,2022-12-22,0,14,2,0,12,266.03589
0.652796220591864,0.07527480863000606,0.8899846675659875,0.759395732423468,0.6682144512138088,0.7570831766304289,0.8980117613719371,1.0,0.05636322618937996,0.6449227788960068,1.0,0.7186411491576489,0.17161508263387165,2022-12-23,0,15,3,0,12,298.92188
0.7074870190553515,0.08497654233799636,1.0,0.8021328515664361,0.6681291780983045,0.8122498742954236,0.9540288575854668,1.0,0.3152058861469428,0.7103936485897296,1.0,0.3459643049199892,0.12989738804988654,2022-12-24,0,16,3,0,12,284.5025
0.7589591446695245,0.09523481900515404,0.9517620456555406,0.8899846675659875,0.6664312428384299,0.8435440261332529,0.9602876879530328,1.0,0.39875959592231097,0.7457357101785337,1.0,0.06958063724760316,0.09936967706457292,2022-12-25,0,17,3,0,12,235.00063
0.806379396271546,0.10600582769641498,0.7861606851930679,1.0,0.7122133046935206,0.8435440261332529,0.9643751177105279,1.0,0.4919860071676256,0.7781336793676208,1.0,0.5383378703361006,0.1519364838385997,2022-12-26,0,18,3,0,12,245.0
0.8490732925871085,0.11723846464006162,0.8196121341134346,0.9517620456555406,0.759395732423468,0.8435440261332529,0.9514783894715987,1.0,0.5287815331053553,0.8055220687243255,1.0,0.4954076929100646,0.14611559965710252,2022-12-27,0,19,3,0,12,249.55007
0.8865537281325517,0.12887635923064714,0.834833736493294,0.7861606851930679,0.8021328515664361,0.8435440261332529,0.9121318772528793,0.9484250046757499,0.5797116103714399,0.8302230695572381,1.0,0.4522774115245069,0.14070782668770562,2022-12-28,0,20,3,0,12,248.62544
0.9185322655384835,0.14086002213030055,0.8317405202991498,0.8196121341134346,0.8899846675659875,0.8435440261332529,0.8824034675883633,0.8234077422261034,0.7000383454027435,0.850983829436108,1.0,0.4428238387155784,0.13953284735741606,2022-12-29,0,21,3,0,12,246.50083
